x,y
348.635634,1128.659476
342.2150883,1113.251156
336.4365971,1097.842835
331.9422151,1082.434515
326.1637239,1067.026194
321.0272873,1051.617874
315.2487961,1028.505393
309.470305,1016.949153
304.3338684,997.6887519
299.1974318,978.4283513
293.4189406,963.0200308
288.282504,943.7596302
283.1460674,924.4992296
278.0096308,905.238829
274.1573034,893.6825886
270.3049759,882.1263482
266.4526485,870.5701079
261.9582665,855.1617874
256.1797753,839.7534669
251.0433387,820.4930663
247.8330658,801.2326656
242.6966292,793.5285054
239.4863563,778.1201849
234.3499197,758.8597843
229.8555377,747.3035439
226.0032103,731.8952234
221.5088283,720.3389831
216.3723917,708.7827427
211.8780096,689.5223421
207.3836276,674.1140216
202.8892456,662.5577812
198.3948636,647.1494607
194.5425361,631.7411402
189.4060995,616.3328197
183.6276083,600.9244992
179.7752809,581.6640986
174.6388443,566.2557781
169.5024077,550.8474576
164.3659711,535.4391371
159.8715891,520.0308166
155.3772071,504.6224961
150.882825,493.0662558
145.7463884,481.5100154
141.2520064,462.2496148
135.4735152,446.8412943
130.3370787,431.4329738
126.4847512,419.8767334
121.3483146,404.4684129
116.8539326,392.9121726
112.3595506,373.651772
107.8651685,362.0955316
104.6548957,350.5392912
100.8025682,338.9830508
95.02407705,323.5747304
89.88764045,308.1664099
85.39325843,296.6101695
82.18298555,285.0539291
78.33065811,277.3497689
74.47833066,261.9414484
69.98394864,254.2372881
65.48956661,238.8289676
61.63723917,227.2727273
57.14285714,211.8644068
52.64847512,196.4560863
48.79614767,181.0477658
44.30176565,169.4915254
39.80738363,154.0832049
35.95505618,146.3790447
32.74478331,130.9707242
28.89245586,115.5624037
25.04012841,107.8582435
20.54574639,84.74576271
15.40930979,65.4853621
9.63081862,46.22496148
5.778491172,26.96456086
0,0
0,0
