Starting run_simulation!(), time is 2026-04-08 02:34:50
New WL phase 1 epoch!, now at 0.5 and the time is 2026-04-08 03:04:36
New WL phase 1 epoch!, now at 0.25 and the time is 2026-04-08 03:15:33
New WL phase 1 epoch!, now at 0.125 and the time is 2026-04-08 03:44:45
New WL phase 1 epoch!, now at 0.0625 and the time is 2026-04-08 04:13:58
New WL phase 1 epoch!, now at 0.03125 and the time is 2026-04-08 05:08:33
New WL phase 1 epoch!, now at 0.015625 and the time is 2026-04-08 06:10:41
New WL phase 1 epoch!, now at 0.0078125 and the time is 2026-04-08 07:39:11
New WL phase 1 epoch!, now at 0.00390625 and the time is 2026-04-08 07:53:39
New WL phase 1 epoch!, now at 0.001953125 and the time is 2026-04-08 11:37:49
New WL phase 1 epoch!, now at 0.0009765625 and the time is 2026-04-08 12:04:16
New WL phase 1 epoch!, now at 0.00048828125 and the time is 2026-04-08 19:22:39
New WL phase 1 epoch!, now at 0.000244140625 and the time is 2026-04-08 20:12:27
New WL phase 1 epoch!, now at 0.0001220703125 and the time is 2026-04-09 12:12:29
New WL phase 1 epoch!, now at 6.103515625e-5 and the time is 2026-04-09 15:30:11
Halted simulation on 4/10/26 1:41pm
